Name,Generation,Type1,Type2,Height,Weight
Mudsdale,7,Ground,,25,9200
Dewpider,7,Water,Bug,3,40
Araquanid,7,Water,Bug,18,820
Fomantis,7,Grass,,3,15
Lurantis,7,Grass,,9,185
Morelull,7,Grass,Fairy,2,15
Shiinotic,7,Grass,Fairy,10,115
Salandit,7,Poison,Fire,6,48
Salazzle,7,Poison,Fire,12,222
Stufful,7,Normal,Fighting,5,68
Bewear,7,Normal,Fighting,21,1350
Bounsweet,7,Grass,,3,32
Steenee,7,Grass,,7,82
Tsareena,7,Grass,,12,214
Comfey,7,Fairy,,1,3
Oranguru,7,Normal,Psychic,15,760
Passimian,7,Fighting,,20,828
Wimpod,7,Bug,Water,5,120
Golisopod,7,Bug,Water,20,1080
Sandygast,7,Ghost,Ground,5,700
Palossand,7,Ghost,Ground,13,2500
Pyukumuku,7,Water,,3,12
Type: Null,7,Normal,,19,1205
Silvally,7,Normal,,23,1005
Minior Red Meteor,7,Rock,Flying,3,400
Komala,7,Normal,,4,199
Turtonator,7,Fire,Dragon,20,2120
Togedemaru,7,Electric,Steel,3,33
Mimikyu Disguised,7,Ghost,Fairy,2,7
Bruxish,7,Water,Psychic,9,190
Drampa,7,Normal,Dragon,30,1850
Dhelmise,7,Ghost,Grass,39,2100
Jangmo-o,7,Dragon,,6,297
Hakamo-o,7,Dragon,Fighting,12,470
Kommo-o,7,Dragon,Fighting,16,782
Tapu Koko,7,Electric,Fairy,18,205
Tapu Lele,7,Psychic,Fairy,12,186
Tapu Bulu,7,Grass,Fairy,19,455
Tapu Fini,7,Water,Fairy,13,212
Cosmog,7,Psychic,,2,1
Cosmoem,7,Psychic,,1,9999
Solgaleo,7,Psychic,Steel,34,2300
Lunala,7,Psychic,Ghost,40,1200
Nihilego,7,Rock,Poison,12,555
Buzzwole,7,Bug,Fighting,24,3336
Pheromosa,7,Bug,Fighting,18,250
Xurkitree,7,Electric,,38,1000
Celesteela,7,Steel,Flying,92,9999
Kartana,7,Grass,Steel,3,1
Guzzlord,7,Dark,Dragon,55,8880
Necrozma,7,Psychic,,24,2300
Magearna,7,Steel,Fairy,10,805
Marshadow,7,Fighting,Ghost,7,222
Poipole,7,Poison,,6,18
Naganadel,7,Poison,Dragon,36,1500
Stakataka,7,Rock,Steel,55,8200
Blacephalon,7,Fire,Ghost,18,130
Zeraora,7,Electric,,15,445
Meltan,7,Steel,,2,80
Melmetal,7,Steel,,25,8000
Grookey,8,Grass,,3,50
Thwackey,8,Grass,,7,140
Rillaboom,8,Grass,,21,900
Scorbunny,8,Fire,,3,45
Raboot,8,Fire,,6,90
Cinderace,8,Fire,,14,330
Sobble,8,Water,,3,40
Drizzile,8,Water,,7,115
Inteleon,8,Water,,19,452
Skwovet,8,Normal,,3,25
Greedent,8,Normal,,6,60
Rookidee,8,Flying,,2,18
Corvisquire,8,Flying,,8,160
Corviknight,8,Flying,Steel,22,750
Blipbug,8,Bug,,4,80
Dottler,8,Bug,Psychic,4,195
Orbeetle,8,Bug,Psychic,4,408
Nickit,8,Dark,,6,89
Thievul,8,Dark,,12,199
Gossifleur,8,Grass,,4,22
Eldegoss,8,Grass,,5,25
Wooloo,8,Normal,,6,60
Dubwool,8,Normal,,13,430
Chewtle,8,Water,,3,85
Drednaw,8,Water,Rock,10,1155
Yamper,8,Electric,,3,135
Boltund,8,Electric,,10,340
Rolycoly,8,Rock,,3,120
Carkol,8,Rock,Fire,11,780
Coalossal,8,Rock,Fire,28,3105
Applin,8,Grass,Dragon,2,5
Flapple,8,Grass,Dragon,3,10
Appletun,8,Grass,Dragon,4,130
Silicobra,8,Ground,,22,76
Sandaconda,8,Ground,,38,655
Cramorant,8,Flying,Water,8,180
Arrokuda,8,Water,,5,10
Barraskewda,8,Water,,13,300
Toxel,8,Electric,Poison,4,110
Toxtricity Amped,8,Electric,Poison,16,400
Sizzlipede,8,Fire,Bug,7,10
Centiskorch,8,Fire,Bug,30,1200
Clobbopus,8,Fighting,,6,40
Grapploct,8,Fighting,,16,390
Sinistea,8,Ghost,,1,2
Polteageist,8,Ghost,,2,4
Hatenna,8,Psychic,,4,34
Hattrem,8,Psychic,,6,48
Hatterene,8,Psychic,Fairy,21,51
Impidimp,8,Dark,Fairy,4,55
Morgrem,8,Dark,Fairy,8,125
Grimmsnarl,8,Dark,Fairy,15,610
Obstagoon,8,Dark,Normal,16,460
Perrserker,8,Steel,,8,280
Cursola,8,Ghost,,10,4
Sirfetch'd,8,Fighting,,8,1170
Mr. Rime,8,Ice,Psychic,15,582
Runerigus,8,Ground,Ghost,16,666
Milcery,8,Fairy,,2,3
Alcremie,8,Fairy,,3,5
Falinks,8,Fighting,,30,620
Pincurchin,8,Electric,,3,10
Snom,8,Ice,Bug,3,38
Frosmoth,8,Ice,Bug,13,420
Stonjourner,8,Rock,,25,5200
Eiscue Ice,8,Ice,,14,890
Indeedee Male,8,Psychic,Normal,9,280
Morpeko Full Belly,8,Electric,Dark,3,30
Cufant,8,Steel,,12,1000
Copperajah,8,Steel,,30,6500
Dracozolt,8,Electric,Dragon,18,1900
Arctozolt,8,Electric,Ice,23,1500
Dracovish,8,Water,Dragon,23,2150
Arctovish,8,Water,Ice,20,1750
Duraludon,8,Steel,Dragon,18,400
Dreepy,8,Dragon,Ghost,5,20
Drakloak,8,Dragon,Ghost,14,110
Dragapult,8,Dragon,Ghost,30,500
Zacian,8,Fairy,,28,1100
Zamazenta,8,Fighting,,29,2100
Eternatus,8,Poison,Dragon,200,9500
Kubfu,8,Fighting,,6,120
Urshifu Single Strike,8,Fighting,Dark,19,1050
Zarude,8,Dark,Grass,18,700
Regieleki,8,Electric,,12,1450
Regidrago,8,Dragon,,21,2000
Glastrier,8,Ice,,22,8000
Spectrier,8,Ghost,,20,445
Calyrex,8,Psychic,Grass,11,77
Wyrdeer,9,Normal,Psychic,18,951
Kleavor,9,Bug,Rock,18,890
Ursaluna,9,Ground,Normal,24,2900
Basculegion Male,9,Water,Ghost,30,1100
Sneasler,9,Fighting,Poison,13,430
Overqwil,9,Dark,Poison,25,605
Enamorus Incarnate,9,Fairy,Flying,16,480
Sprigatito,9,Grass,,4,41
Floragato,9,Grass,,9,122
Meowscarada,9,Grass,Dark,15,312
Fuecoco,9,Fire,,4,98
Crocalor,9,Fire,,10,307
Skeledirge,9,Fire,Ghost,16,3265
Quaxly,9,Water,,5,61
Quaxwell,9,Water,,12,215
Quaquaval,9,Water,Fighting,18,619
Lechonk,9,Normal,,5,102
Oinkologne Male,9,Normal,,10,1200
Tarountula,9,Bug,,3,40
Spidops,9,Bug,,10,165
Nymble,9,Bug,,2,10
Lokix,9,Bug,Dark,10,175
Pawmi,9,Electric,,3,25
Pawmo,9,Electric,Fighting,4,65
Pawmot,9,Electric,Fighting,9,410
Tandemaus,9,Normal,,3,18
Maushold Family Of Four,9,Normal,,3,23
Fidough,9,Fairy,,3,109
Dachsbun,9,Fairy,,5,149
Smoliv,9,Grass,Normal,3,65
Dolliv,9,Grass,Normal,6,119
Arboliva,9,Grass,Normal,14,482
Squawkabilly Green Plumage,9,Normal,Flying,6,24
Nacli,9,Rock,,4,160
Naclstack,9,Rock,,6,1050
Garganacl,9,Rock,,23,2400
Charcadet,9,Fire,,6,105
Armarouge,9,Fire,Psychic,15,850
Ceruledge,9,Fire,Ghost,16,620
Tadbulb,9,Electric,,3,4
Bellibolt,9,Electric,,12,1130
Wattrel,9,Electric,Flying,4,36
Kilowattrel,9,Electric,Flying,14,386
Maschiff,9,Dark,,5,160
Mabosstiff,9,Dark,,11,610
Shroodle,9,Poison,Normal,2,7
Grafaiai,9,Poison,Normal,7,272
Bramblin,9,Grass,Ghost,6,6
Brambleghast,9,Grass,Ghost,12,60
Toedscool,9,Ground,Grass,9,330
Toedscruel,9,Ground,Grass,19,580
Klawf,9,Rock,,13,790
Capsakid,9,Grass,,3,30
Scovillain,9,Grass,Fire,9,150
Rellor,9,Bug,,2,10
Rabsca,9,Bug,Psychic,3,35
Flittle,9,Psychic,,2,15
Espathra,9,Psychic,,19,900
Tinkatink,9,Fairy,Steel,4,89
Tinkatuff,9,Fairy,Steel,7,591
Tinkaton,9,Fairy,Steel,7,1128
Wiglett,9,Water,,12,18
Wugtrio,9,Water,,12,54
Bombirdier,9,Flying,Dark,15,429
Finizen,9,Water,,13,602
Palafin Zero,9,Water,,13,602
Varoom,9,Steel,Poison,10,350
Revavroom,9,Steel,Poison,18,1200
Cyclizar,9,Dragon,Normal,16,630
Orthworm,9,Steel,,25,3100
Glimmet,9,Rock,Poison,7,80
Glimmora,9,Rock,Poison,15,450
Greavard,9,Ghost,,6,350
Houndstone,9,Ghost,,20,150
Flamigo,9,Flying,Fighting,16,370
Cetoddle,9,Ice,,12,450
Cetitan,9,Ice,,45,7000
Veluza,9,Water,Psychic,25,900
Dondozo,9,Water,,120,2200
Tatsugiri Curly,9,Dragon,Water,3,80
Annihilape,9,Fighting,Ghost,12,560
Clodsire,9,Poison,Ground,18,2230
Farigiraf,9,Normal,Psychic,32,1600
Dudunsparce Two Segment,9,Normal,,36,392
Kingambit,9,Dark,Steel,20,1200
Great Tusk,9,Ground,Fighting,22,3200
Scream Tail,9,Fairy,Psychic,12,80
Brute Bonnet,9,Grass,Dark,12,210
Flutter Mane,9,Ghost,Fairy,14,40
Slither Wing,9,Bug,Fighting,32,920
Sandy Shocks,9,Electric,Ground,23,600
Iron Treads,9,Ground,Steel,9,2400
Iron Bundle,9,Ice,Water,6,110
Iron Hands,9,Fighting,Electric,18,3807
Iron Jugulis,9,Dark,Flying,13,1110
Iron Moth,9,Fire,Poison,12,360
Iron Thorns,9,Rock,Electric,16,3030
Frigibax,9,Dragon,Ice,5,170
Arctibax,9,Dragon,Ice,8,300
Baxcalibur,9,Dragon,Ice,21,2100
Gimmighoul,9,Ghost,,3,50
Gholdengo,9,Steel,Ghost,12,300
Wo Chien,9,Dark,Grass,15,742
Chien Pao,9,Dark,Ice,19,1522
Ting Lu,9,Dark,Ground,27,6997
Chi Yu,9,Dark,Fire,4,49
Roaring Moon,9,Dragon,Dark,20,3800
Iron Valiant,9,Fairy,Fighting,14,350
Koraidon,9,Fighting,Dragon,25,3030
Miraidon,9,Electric,Dragon,35,2400
Walking Wake,9,Water,Dragon,35,2800
Iron Leaves,9,Grass,Psychic,15,1250
Dipplin,9,Grass,Dragon,4,97
Poltchageist,9,Grass,Ghost,1,11
Sinistcha,9,Grass,Ghost,2,22
Okidogi,9,Poison,Fighting,18,922
Munkidori,9,Poison,Psychic,10,122
Fezandipiti,9,Poison,Fairy,14,301
Ogerpon,9,Grass,,12,398
Archaludon,9,Steel,Dragon,20,600
Hydrapple,9,Grass,Dragon,18,930
Gouging Fire,9,Fire,Dragon,35,5900
Raging Bolt,9,Electric,Dragon,52,4800
Iron Boulder,9,Rock,Psychic,15,1625
Iron Crown,9,Steel,Psychic,16,1560
Terapagos,9,Normal,,2,65
Pecharunt,9,Poison,Ghost,3,3
Deoxys (Attack Forme),3,Psychic,,17,608
Deoxys (Defense Forme),3,Psychic,,17,608
Deoxys (Speed Forme),3,Psychic,,17,608
Wormadam (Sandy Cloak),4,Bug,Ground,5,65
Wormadam (Trash Cloak),4,Bug,Steel,5,65
Shaymin (Sky Forme),4,Grass,Flying,4,52
Giratina (Origin Forme),4,Ghost,Dragon,69,6500
Rotom Heat,4,Electric,Fire,3,3
Rotom Wash,4,Electric,Water,3,3
Rotom Frost,4,Electric,Ice,3,3
Rotom Fan,4,Electric,Flying,3,3
Rotom Mow,4,Electric,Grass,3,3
Castform (Sunny Form),3,Fire,,3,8
Castform (Rainy Form),3,Water,,3,8
Castform (Snowy Form),3,Ice,,3,8
Basculin (Blue Striped),5,Water,,10,180
Darmanitan (Zen Mode),5,Fire,Psychic,13,929
Meloetta (Pirouette Forme),5,Normal,Fighting,6,65
Tornadus (Therian Forme),5,Flying,,14,630
Thundurus (Therian Forme),5,Electric,Flying,30,610
Landorus (Therian Forme),5,Ground,Flying,13,680
Kyurem Black,5,Dragon,Ice,33,3250
Kyurem White,5,Dragon,Ice,36,3250
Keldeo (Resolute Form),5,Water,Fighting,14,485
Meowstic Female,6,Psychic,,6,85
Aegislash (Blade Forme),6,Steel,Ghost,17,530
Pumpkaboo Small,6,Ghost,Grass,3,35
Pumpkaboo Large,6,Ghost,Grass,5,75
Pumpkaboo Super,6,Ghost,Grass,8,150
Gourgeist Small,6,Ghost,Grass,7,95
Gourgeist Large,6,Ghost,Grass,11,140
Gourgeist Super,6,Ghost,Grass,17,390
Mega Venusaur,1,Grass,Poison,24,1555
Charizard Mega X,1,Fire,Dragon,17,1105
Charizard Mega Y,1,Fire,Flying,17,1005
Mega Blastoise,1,Water,,16,1011
Mega Alakazam,1,Psychic,,12,480
Mega Gengar,1,Ghost,Poison,14,405
Mega Kangaskhan,1,Normal,,22,1000
Mega Pinsir,1,Bug,Flying,17,590
Mega Gyarados,1,Water,Dark,65,3050
Mega Aerodactyl,1,Rock,Flying,21,790
Mewtwo Mega X,1,Psychic,Fighting,23,1270
Mewtwo Mega Y,1,Psychic,,15,330
Mega Ampharos,2,Electric,Dragon,14,615
Mega Scizor,2,Bug,Steel,20,1250
Mega Heracross,2,Bug,Fighting,17,625
Mega Houndoom,2,Dark,Fire,19,495
Mega Tyranitar,2,Rock,Dark,25,2550
Mega Blaziken,3,Fire,Fighting,19,520
Mega Gardevoir,3,Psychic,Fairy,16,484
Mega Mawile,3,Steel,Fairy,10,235
Mega Aggron,3,Steel,,22,3950
Mega Medicham,3,Fighting,Psychic,13,315
Mega Manectric,3,Electric,,18,440
Mega Banette,3,Ghost,,12,130
Mega Absol,3,Dark,,12,490
Mega Garchomp,4,Dragon,Ground,19,950
Mega Lucario,4,Fighting,Steel,13,575
Mega Abomasnow,4,Grass,Ice,27,1850
Floette Eternal,6,Fairy,,2,9
Mega Latias,3,Dragon,Psychic,18,520
Mega Latios,3,Dragon,Psychic,23,700
Mega Swampert,3,Water,Ground,19,1020
Mega Sceptile,3,Grass,Dragon,19,552
Mega Sableye,3,Dark,Ghost,5,1610
Mega Altaria,3,Dragon,Fairy,15,206
Mega Gallade,4,Psychic,Fighting,16,564
Mega Audino,5,Normal,Fairy,15,320
Mega Sharpedo,3,Water,Dark,25,1303
Mega Slowbro,1,Water,Psychic,20,1200
Mega Steelix,2,Steel,Ground,105,7400
Mega Pidgeot,1,Normal,Flying,22,505
Mega Glalie,3,Ice,,21,3502
Mega Diancie,6,Rock,Fairy,11,278
Mega Metagross,3,Steel,Psychic,25,9429
Primal Kyogre,3,Water,,98,4300
Primal Groudon,3,Ground,Fire,50,9997
Mega Rayquaza,3,Dragon,Flying,108,3920
Pikachu Rock Star,1,Electric,,4,60
Pikachu Belle,1,Electric,,4,60
Pikachu Pop Star,1,Electric,,4,60
Pikachu Phd,1,Electric,,4,60
Pikachu Libre,1,Electric,,4,60
Pikachu Cosplay,1,Electric,,4,60
Hoopa Unbound,6,Psychic,Dark,65,4900
Mega Camerupt,3,Fire,Ground,25,3205
Mega Lopunny,4,Normal,Fighting,13,283
Mega Salamence,3,Dragon,Flying,18,1126
Mega Beedrill,1,Bug,Poison,14,405
Alolan Rattata,1,Dark,Normal,3,38
Alolan Raticate,1,Dark,Normal,7,255
Raticate Totem Alola,1,Dark,Normal,14,1050
Pikachu Original Cap,1,Electric,,4,60
Pikachu Hoenn Cap,1,Electric,,4,60
Pikachu Sinnoh Cap,1,Electric,,4,60
Pikachu Unova Cap,1,Electric,,4,60
Pikachu Kalos Cap,1,Electric,,4,60
Pikachu Alola Cap,1,Electric,,4,60
Alolan Raichu,1,Electric,Psychic,7,210
Alolan Sandshrew,1,Ice,Steel,7,400
Alolan Sandslash,1,Ice,Steel,12,550
Alolan Vulpix,1,Ice,,6,99
Alolan Ninetales,1,Ice,Fairy,11,199
Alolan Diglett,1,Ground,Steel,2,10
Alolan Dugtrio,1,Ground,Steel,7,666
Alolan Meowth,1,Dark,,4,42
Alolan Persian,1,Dark,,11,330
Alolan Geodude,1,Rock,Electric,4,203
Alolan Graveler,1,Rock,Electric,10,1100
Alolan Golem,1,Rock,Electric,17,3160
Alolan Grimer,1,Poison,Dark,7,420
Alolan Muk,1,Poison,Dark,10,520
Alolan Exeggutor,1,Grass,Dragon,109,4156
Alolan Marowak,1,Fire,Ghost,10,340
Greninja Battle Bond,6,Water,Dark,15,400
Greninja Ash,6,Water,Dark,15,400
Zygarde 10 Power Construct,6,Dragon,Ground,12,335
Zygarde 50 Power Construct,6,Dragon,Ground,50,3050
Zygarde Complete,6,Dragon,Ground,45,6100
Gumshoos Totem,7,Normal,,14,600
Vikavolt Totem,7,Bug,Electric,26,1475
Oricorio Pom Pom,7,Electric,Flying,6,34
Oricorio Pau,7,Psychic,Flying,6,34
Oricorio Sensu,7,Ghost,Flying,6,34
Lycanroc Midnight,7,Rock,,11,250
Wishiwashi School,7,Water,,82,786
Lurantis Totem,7,Grass,,15,580
Salazzle Totem,7,Poison,Fire,21,810
Minior Orange Meteor,7,Rock,Flying,3,400
Minior Yellow Meteor,7,Rock,Flying,3,400
Minior Green Meteor,7,Rock,Flying,3,400
Minior Blue Meteor,7,Rock,Flying,3,400
Minior Indigo Meteor,7,Rock,Flying,3,400
Minior Violet Meteor,7,Rock,Flying,3,400
Minior Red,7,Rock,Flying,3,3
Minior Orange,7,Rock,Flying,3,3
Minior Yellow,7,Rock,Flying,3,3
Minior Green,7,Rock,Flying,3,3
Minior Blue,7,Rock,Flying,3,3
Minior Indigo,7,Rock,Flying,3,3
Minior Violet,7,Rock,Flying,3,3
Mimikyu Busted,7,Ghost,Fairy,2,7
Mimikyu Totem Disguised,7,Ghost,Fairy,4,28
Mimikyu Totem Busted,7,Ghost,Fairy,4,28
Kommo O Totem,7,Dragon,Fighting,24,2075
Magearna Original,7,Steel,Fairy,10,805
Pikachu Partner Cap,1,Electric,,4,60
Marowak Totem,1,Fire,Ghost,17,980
Ribombee Totem,7,Bug,Fairy,4,20
Rockruff Own Tempo,7,Rock,,5,92
Lycanroc Dusk,7,Rock,,8,250
Araquanid Totem,7,Water,Bug,31,2175
Togedemaru Totem,7,Electric,Steel,6,130
Necrozma Dusk,7,Psychic,Steel,38,4600
Necrozma Dawn,7,Psychic,Ghost,42,3500
Necrozma Ultra,7,Psychic,Dragon,75,2300
Pikachu Starter,1,Electric,,4,60
Eevee Starter,1,Normal,,3,65
Pikachu World Cap,1,Electric,,4,60
Galarian Meowth,1,Steel,,4,75
Galarian Ponyta,1,Psychic,,8,240
Galarian Rapidash,1,Psychic,Fairy,17,800
Galarian Slowpoke,1,Psychic,,12,360
Galarian Slowbro,1,Poison,Psychic,16,705
Galarian Farfetch'd,1,Fighting,,8,420
Galarian Weezing,1,Poison,Fairy,30,160
Galarian Mr. Mime,1,Ice,Psychic,14,568
Galarian Articuno,1,Psychic,Flying,17,509
Galarian Zapdos,1,Fighting,Flying,16,582
Galarian Moltres,1,Dark,Flying,20,660
Galarian Slowking,2,Poison,Psychic,18,795
Galarian Corsola,2,Ghost,,6,5
Galarian Zigzagoon,3,Dark,Normal,4,175
Galarian Linoone,3,Dark,Normal,5,325
Galarian Darumaka,5,Ice,,7,400
Darmanitan Galar Standard,5,Ice,,17,1200
Darmanitan Galar Zen,5,Ice,Fire,17,1200
Galarian Yamask,5,Ground,Ghost,5,15
Galarian Stunfisk,5,Ground,Steel,7,205
Zygarde 10,6,Dragon,Ground,12,335
Cramorant Gulping,8,Flying,Water,8,180
Cramorant Gorging,8,Flying,Water,8,180
Toxtricity Low Key,8,Electric,Poison,16,400
Eiscue Noice,8,Ice,,14,890
Indeedee Female,8,Psychic,Normal,9,280
Morpeko Hangry,8,Electric,Dark,3,30
Zacian Crowned,8,Fairy,Steel,28,3550
Zamazenta Crowned,8,Fighting,Steel,29,7850
Eternatus Eternamax,8,Poison,Dragon,1000,0
Urshifu Rapid Strike,8,Fighting,Water,19,1050
Zarude Dada,8,Dark,Grass,18,700
Calyrex Ice,8,Psychic,Ice,24,8091
Calyrex Shadow,8,Psychic,Ghost,24,536
Venusaur Gmax,1,Grass,Poison,240,10000
Charizard Gmax,1,Fire,Flying,280,10000
Blastoise Gmax,1,Water,,250,10000
Butterfree Gmax,1,Bug,Flying,170,10000
Pikachu Gmax,1,Electric,,210,10000
Meowth Gmax,1,Normal,,330,10000
Machamp Gmax,1,Fighting,,250,10000
Gengar Gmax,1,Ghost,Poison,200,10000
Kingler Gmax,1,Water,,190,10000
Lapras Gmax,1,Water,Ice,240,10000
Eevee Gmax,1,Normal,,180,10000
Snorlax Gmax,1,Normal,,350,10000
Garbodor Gmax,5,Poison,,210,10000
Melmetal Gmax,7,Steel,,250,10000
Rillaboom Gmax,8,Grass,,280,10000
Cinderace Gmax,8,Fire,,270,10000
Inteleon Gmax,8,Water,,400,10000
Corviknight Gmax,8,Flying,Steel,140,10000
Orbeetle Gmax,8,Bug,Psychic,140,10000
Drednaw Gmax,8,Water,Rock,240,10000
Coalossal Gmax,8,Rock,Fire,420,10000
Flapple Gmax,8,Grass,Dragon,240,10000
Appletun Gmax,8,Grass,Dragon,240,10000
Sandaconda Gmax,8,Ground,,220,10000
Toxtricity Amped Gmax,8,Electric,Poison,240,10000
Centiskorch Gmax,8,Fire,Bug,750,10000
Hatterene Gmax,8,Psychic,Fairy,260,10000
Grimmsnarl Gmax,8,Dark,Fairy,320,10000
Alcremie Gmax,8,Fairy,,300,10000
Copperajah Gmax,8,Steel,,230,10000
Duraludon Gmax,8,Steel,Dragon,430,10000
Urshifu Single Strike Gmax,8,Fighting,Dark,290,10000
Urshifu Rapid Strike Gmax,8,Fighting,Water,260,10000
Toxtricity Low Key Gmax,8,Electric,Poison,240,10000
Growlithe Hisui,1,Fire,Rock,8,227
Arcanine Hisui,1,Fire,Rock,20,1680
Voltorb Hisui,1,Electric,Grass,5,130
Electrode Hisui,1,Electric,Grass,12,710
Typhlosion Hisui,2,Fire,Ghost,16,698
Qwilfish Hisui,2,Dark,Poison,5,39
Sneasel Hisui,2,Fighting,Poison,9,270
Samurott Hisui,5,Water,Dark,15,582
Lilligant Hisui,5,Grass,Fighting,12,192
Zorua Hisui,5,Normal,Ghost,7,125
Zoroark Hisui,5,Normal,Ghost,16,730
Braviary Hisui,5,Psychic,Flying,17,434
Sliggoo Hisui,6,Steel,Dragon,7,685
Goodra Hisui,6,Steel,Dragon,17,3341
Avalugg Hisui,6,Ice,Rock,14,2624
Decidueye Hisui,7,Grass,Fighting,16,370
Dialga Origin,4,Steel,Dragon,70,8487
Palkia Origin,4,Water,Dragon,63,6590
Basculin White Striped,5,Water,,10,180
Basculegion Female,9,Water,Ghost,30,1100
Enamorus Therian,9,Fairy,Flying,16,480
Tauros Paldea Combat Breed,1,Fighting,,14,1150
Tauros Paldea Blaze Breed,1,Fighting,Fire,14,850
Tauros Paldea Aqua Breed,1,Fighting,Water,14,1100
Wooper Paldea,2,Poison,Ground,4,110
Oinkologne Female,9,Normal,,10,1200
Dudunsparce Three Segment,9,Normal,,45,474
Palafin Hero,9,Water,,18,974
Maushold Family Of Three,9,Normal,,3,28
Tatsugiri Droopy,9,Dragon,Water,3,80
Tatsugiri Stretchy,9,Dragon,Water,3,80
Squawkabilly Blue Plumage,9,Normal,Flying,6,24
Squawkabilly Yellow Plumage,9,Normal,Flying,6,24
Squawkabilly White Plumage,9,Normal,Flying,6,24
Gimmighoul Roaming,9,Ghost,,1,10
Ursaluna Bloodmoon,9,Ground,Normal,24,2900
Ogerpon Wellspring Mask,9,Grass,Water,12,398
Ogerpon Hearthflame Mask,9,Grass,Fire,12,398
Ogerpon Cornerstone Mask,9,Grass,Rock,12,398
